wave_group_id,difficulty,wave,enemy_id_1,enemy_id_2,enemy_id_3,enemy_id_4,enemy_id_5,drop_gold_1,reward_group_id_1,disp_reward_type_1,disp_reward_id_1,reward_lot_count_1,reward_odds_1,drop_gold_2,reward_group_id_2,disp_reward_type_2,disp_reward_id_2,reward_lot_count_2,reward_odds_2,drop_gold_3,reward_group_id_3,disp_reward_type_3,disp_reward_id_3,reward_lot_count_3,reward_odds_3,drop_gold_4,reward_group_id_4,disp_reward_type_4,disp_reward_id_4,reward_lot_count_4,reward_odds_4,drop_gold_5,reward_group_id_5,disp_reward_type_5,disp_reward_id_5,reward_lot_count_5,reward_odds_5
650002011,1,1,670090110,670300010,670110010,0,0,273,61001005,0,0,1,30,0,61001004,0,0,1,18,0,61001007,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0
650002012,1,2,670120008,670300010,670390010,0,0,273,10011003,0,0,1,66,0,10011002,4,101011,1,66,0,10011001,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0
650002013,1,3,670380009,670050009,670420010,670230010,0,273,10011006,4,101011,1,66,0,10011005,0,0,1,66,0,10011004,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0
650002021,1,1,670370011,670060011,670440011,0,0,281,61001005,0,0,1,30,0,61001004,0,0,1,18,0,61001007,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0
650002022,1,2,670330009,670210111,670080011,0,0,281,10011003,0,0,1,66,0,10011002,4,101011,1,66,0,10011001,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0
650002023,1,3,670290111,670380110,670160011,670340011,0,281,10011006,4,101011,1,66,0,10011005,0,0,1,66,0,10011004,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0
650002031,1,1,670060012,670090012,670130012,0,0,288,61001005,0,0,1,30,0,61001004,0,0,1,18,0,61001007,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0
650002032,1,2,670090012,670300112,670070012,0,0,288,10011003,0,0,1,66,0,10011002,4,101011,1,66,0,10011001,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0
650002033,1,3,670040011,670030012,670100012,670210112,0,288,10011006,4,101011,1,66,0,10011005,0,0,1,66,0,10011004,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0
650002041,1,1,670030013,670280013,670020013,0,0,298,61001005,0,0,1,30,0,61001004,0,0,1,18,0,61001007,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0
